controlID	controlName	mitigates	techniqueID	techniqueName
AC-3	Access Enforcement	mitigates	T1548	Abuse Elevation Control Mechanism
AC-3	Access Enforcement	mitigates	T1550	Use Alternate Authentication Material
AC-3	Access Enforcement	mitigates	T1550.002	Pass the Hash
AC-3	Access Enforcement	mitigates	T1550.003	Pass the Ticket
AC-3	Access Enforcement	mitigates	T1552	Unsecured Credentials
AC-3	Access Enforcement	mitigates	T1552.002	Credentials in Registry
AC-3	Access Enforcement	mitigates	T1553	Subvert Trust Controls
AC-3	Access Enforcement	mitigates	T1553.003	SIP and Trust Provider Hijacking
AC-3	Access Enforcement	mitigates	T1553.006	Code Signing Policy Modification
AC-3	Access Enforcement	mitigates	T1556.001	Domain Controller Authentication
AC-3	Access Enforcement	mitigates	T1556.003	Pluggable Authentication Modules
AC-3	Access Enforcement	mitigates	T1557.002	ARP Cache Poisoning
AC-3	Access Enforcement	mitigates	T1558.001	Golden Ticket
AC-3	Access Enforcement	mitigates	T1558.002	Silver Ticket
AC-3	Access Enforcement	mitigates	T1558.004	AS-REP Roasting
AC-3	Access Enforcement	mitigates	T1559.001	Component Object Model
AC-3	Access Enforcement	mitigates	T1561	Disk Wipe
AC-3	Access Enforcement	mitigates	T1561.001	Disk Content Wipe
AC-3	Access Enforcement	mitigates	T1561.002	Disk Structure Wipe
AC-3	Access Enforcement	mitigates	T1562.002	Disable Windows Event Logging
AC-3	Access Enforcement	mitigates	T1562.004	Disable or Modify System Firewall
AC-3	Access Enforcement	mitigates	T1562.007	Disable or Modify Cloud Firewall
AC-3	Access Enforcement	mitigates	T1562.009	Safe Mode Boot
AC-3	Access Enforcement	mitigates	T1563	Remote Service Session Hijacking
AC-3	Access Enforcement	mitigates	T1563.001	SSH Hijacking
AC-3	Access Enforcement	mitigates	T1563.002	RDP Hijacking
AC-3	Access Enforcement	mitigates	T1564.004	NTFS File Attributes
AC-3	Access Enforcement	mitigates	T1569	System Services
AC-3	Access Enforcement	mitigates	T1569.001	Launchctl
AC-3	Access Enforcement	mitigates	T1569.002	Service Execution
AC-3	Access Enforcement	mitigates	T1572	Protocol Tunneling
AC-3	Access Enforcement	mitigates	T1574.004	Dylib Hijacking
AC-3	Access Enforcement	mitigates	T1574.005	Executable Installer File Permissions Weakness
AC-3	Access Enforcement	mitigates	T1574.008	Path Interception by Search Order Hijacking
AC-3	Access Enforcement	mitigates	T1574.009	Path Interception by Unquoted Path
AC-3	Access Enforcement	mitigates	T1574.010	Services File Permissions Weakness
AC-3	Access Enforcement	mitigates	T1574.012	COR_PROFILER
AC-3	Access Enforcement	mitigates	T1578	Modify Cloud Compute Infrastructure
AC-3	Access Enforcement	mitigates	T1578.001	Create Snapshot
AC-3	Access Enforcement	mitigates	T1578.002	Create Cloud Instance
AC-3	Access Enforcement	mitigates	T1578.003	Delete Cloud Instance
AC-3	Access Enforcement	mitigates	T1599.001	Network Address Translation Traversal
AC-3	Access Enforcement	mitigates	T1601	Modify System Image
AC-3	Access Enforcement	mitigates	T1601.001	Patch System Image
AC-3	Access Enforcement	mitigates	T1601.002	Downgrade System Image
AC-3	Access Enforcement	mitigates	T1602	Data from Configuration Repository
AC-3	Access Enforcement	mitigates	T1602.001	SNMP (MIB Dump)
AC-3	Access Enforcement	mitigates	T1606	Forge Web Credentials
AC-3	Access Enforcement	mitigates	T1606.001	Web Cookies
AC-3	Access Enforcement	mitigates	T1606.002	SAML Tokens
AC-3	Access Enforcement	mitigates	T1612	Build Image on Host
AC-3	Access Enforcement	mitigates	T1613	Container and Resource Discovery
AC-3	Access Enforcement	mitigates	T1619	Cloud Storage Object Discovery
AC-4	Information Flow Enforncement	mitigates	T1205.002	Socket Filters
AC-4	Information Flow Enforcement	mitigates	T1557.003	DHCP Spoofing
AC-4	Information Flow Enforcement	mitigates	T1609	Container Administration Command
AC-4	Information Flow Enforcement	mitigates	T1622	Debugger Evasion
AC-4	Information Flow Enforcement	mitigates	T1552.007	Container API
AC-4	Information Flow Enforcement	mitigates	T1574	Hijack Execution Flow
AC-4	Information Flow Enforcement	mitigates	T1068	Exploitation for Privilege Escalation
AC-4	Information Flow Enforcement	mitigates	T1133	External Remote Services
AC-4	Information Flow Enforcement	mitigates	T1212	Exploitation for Credential Access
AC-4	Information Flow Enforcement	mitigates	T1482	Domain Trust Discovery
AC-4	Information Flow Enforcement	mitigates	T1203	Exploitation for Client Execution
AC-4	Information Flow Enforcement	mitigates	T1211	Exploitation for Defense Evasion
AC-4	Information Flow Enforcement	mitigates	T1537	Transfer Data to Cloud Account
AC-4	Information Flow Enforcement	mitigates	T1567	Exfiltration Over Web Service
AC-4	Information Flow Enforcement	mitigates	T1567.002	Exfiltration to Cloud Storage
AC-4	Information Flow Enforcement	mitigates	T1574.007	Path Interception by PATH Environment Variable
AC-4	Information Flow Enforcement	mitigates	T1003.001	LSASS Memory
AC-4	Information Flow Enforcement	mitigates	T1046	Network Service Scanning
AC-4	Information Flow Enforcement	mitigates	T1199	Trusted Relationship
AC-4	Information Flow Enforcement	mitigates	T1528	Steal Application Access Token
AC-4	Information Flow Enforcement	mitigates	T1530	Data from Cloud Storage Object
AC-4	Information Flow Enforcement	mitigates	T1557	Adversary-in-the-Middle
AC-4	Information Flow Enforcement	mitigates	T1557.001	LLMNR/NBT-NS Poisoning and SMB Relay
AC-4	Information Flow Enforcement	mitigates	T1566.002	Spearphishing Link
AC-4	Information Flow Enforcement	mitigates	T1598.003	Spearphishing Link
AC-4	Information Flow Enforcement	mitigates	T1599	Network Boundary Bridging
AC-4	Information Flow Enforcement	mitigates	T1611	Escape to Host
AC-4	Information Flow Enforcement	mitigates	T1020.001	Traffic Duplication
AC-4	Information Flow Enforcement	mitigates	T1021.001	Remote Desktop Protocol
AC-4	Information Flow Enforcement	mitigates	T1095	Non-Application Layer Protocol
AC-4	Information Flow Enforcement	mitigates	T1098	Account Manipulation
AC-4	Information Flow Enforcement	mitigates	T1098.001	Additional Cloud Credentials
AC-4	Information Flow Enforcement	mitigates	T1105	Ingress Tool Transfer
AC-4	Information Flow Enforcement	mitigates	T1189	Drive-by Compromise
AC-4	Information Flow Enforcement	mitigates	T1190	Exploit Public-Facing Application
AC-4	Information Flow Enforcement	mitigates	T1197	BITS Jobs
AC-4	Information Flow Enforcement	mitigates	T1204	User Execution
AC-4	Information Flow Enforcement	mitigates	T1204.002	Malicious File
AC-4	Information Flow Enforcement	mitigates	T1205	Traffic Signaling
AC-4	Information Flow Enforcement	mitigates	T1205.001	Port Knocking
AC-4	Information Flow Enforcement	mitigates	T1210	Exploitation of Remote Services
AC-4	Information Flow Enforcement	mitigates	T1218.012	Verclsid
AC-4	Information Flow Enforcement	mitigates	T1219	Remote Access Software
AC-4	Information Flow Enforcement	mitigates	T1498.001	Direct Network Flood
AC-4	Information Flow Enforcement	mitigates	T1498.002	Reflection Amplification
AC-4	Information Flow Enforcement	mitigates	T1499	Endpoint Denial of Service
AC-4	Information Flow Enforcement	mitigates	T1499.001	OS Exhaustion Flood
AC-4	Information Flow Enforcement	mitigates	T1499.002	Service Exhaustion Flood
AC-4	Information Flow Enforcement	mitigates	T1499.003	Application Exhaustion Flood
AC-4	Information Flow Enforcement	mitigates	T1499.004	Application or System Exploitation
AC-4	Information Flow Enforcement	mitigates	T1547.003	Time Providers
AC-4	Information Flow Enforcement	mitigates	T1552.005	Cloud Instance Metadata API
AC-4	Information Flow Enforcement	mitigates	T1559	Inter-Process Communication
AC-4	Information Flow Enforcement	mitigates	T1559.002	Dynamic Data Exchange
AC-4	Information Flow Enforcement	mitigates	T1565	Data Manipulation
AC-4	Information Flow Enforcement	mitigates	T1565.003	Runtime Data Manipulation
AC-4	Information Flow Enforcement	mitigates	T1568.002	Domain Generation Algorithms
AC-4	Information Flow Enforcement	mitigates	T1570	Lateral Tool Transfer
AC-4	Information Flow Enforcement	mitigates	T1602.002	Network Device Configuration Dump
AC-4	Information Flow Enforcement	mitigates	T1001	Data Obfuscation
AC-4	Information Flow Enforcement	mitigates	T1001.001	Junk Data
AC-4	Information Flow Enforcement	mitigates	T1001.002	Steganography
AC-4	Information Flow Enforcement	mitigates	T1001.003	Protocol Impersonation
AC-4	Information Flow Enforcement	mitigates	T1003	OS Credential Dumping
AC-4	Information Flow Enforcement	mitigates	T1003.005	Cached Domain Credentials
AC-4	Information Flow Enforcement	mitigates	T1003.006	DCSync
AC-4	Information Flow Enforcement	mitigates	T1008	Fallback Channels
AC-4	Information Flow Enforcement	mitigates	T1021.002	SMB/Windows Admin Shares
AC-4	Information Flow Enforcement	mitigates	T1021.003	Distributed Component Object Model
AC-4	Information Flow Enforcement	mitigates	T1021.005	VNC
AC-4	Information Flow Enforcement	mitigates	T1021.006	Windows Remote Management
AC-4	Information Flow Enforcement	mitigates	T1029	Scheduled Transfer
AC-4	Information Flow Enforcement	mitigates	T1030	Data Transfer Size Limits
AC-4	Information Flow Enforcement	mitigates	T1041	Exfiltration Over C2 Channel
AC-4	Information Flow Enforcement	mitigates	T1048	Exfiltration Over Alternative Protocol
AC-4	Information Flow Enforcement	mitigates	T1048.001	Exfiltration Over Symmetric Encrypted Non-C2 Protocol
AC-4	Information Flow Enforcement	mitigates	T1048.002	Exfiltration Over Asymmetric Encrypted Non-C2 Protocol
AC-4	Information Flow Enforcement	mitigates	T1048.003	Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol
AC-4	Information Flow Enforcement	mitigates	T1071	Application Layer Protocol
AC-4	Information Flow Enforcement	mitigates	T1071.001	Web Protocols
AC-4	Information Flow Enforcement	mitigates	T1071.002	File Transfer Protocols
AC-4	Information Flow Enforcement	mitigates	T1071.003	Mail Protocols
AC-4	Information Flow Enforcement	mitigates	T1071.004	DNS
AC-4	Information Flow Enforcement	mitigates	T1072	Software Deployment Tools
AC-4	Information Flow Enforcement	mitigates	T1090	Proxy
AC-4	Information Flow Enforcement	mitigates	T1090.001	Internal Proxy
AC-4	Information Flow Enforcement	mitigates	T1090.002	External Proxy
AC-4	Information Flow Enforcement	mitigates	T1090.003	Multi-hop Proxy
AC-4	Information Flow Enforcement	mitigates	T1102	Web Service
AC-4	Information Flow Enforcement	mitigates	T1102.001	Dead Drop Resolver
AC-4	Information Flow Enforcement	mitigates	T1102.002	Bidirectional Communication
AC-4	Information Flow Enforcement	mitigates	T1102.003	One-Way Communication
AC-4	Information Flow Enforcement	mitigates	T1104	Multi-Stage Channels
AC-4	Information Flow Enforcement	mitigates	T1114	Email Collection
AC-4	Information Flow Enforcement	mitigates	T1114.001	Local Email Collection
AC-4	Information Flow Enforcement	mitigates	T1114.002	Remote Email Collection
AC-4	Information Flow Enforcement	mitigates	T1114.003	Email Forwarding Rule
AC-4	Information Flow Enforcement	mitigates	T1132	Data Encoding
AC-4	Information Flow Enforcement	mitigates	T1132.001	Standard Encoding
AC-4	Information Flow Enforcement	mitigates	T1132.002	Non-Standard Encoding
AC-4	Information Flow Enforcement	mitigates	T1134.005	SID-History Injection
AC-4	Information Flow Enforcement	mitigates	T1136	Create Account
AC-4	Information Flow Enforcement	mitigates	T1136.002	Domain Account
AC-4	Information Flow Enforcement	mitigates	T1136.003	Cloud Account
AC-4	Information Flow Enforcement	mitigates	T1187	Forced Authentication
AC-4	Information Flow Enforcement	mitigates	T1204.001	Malicious Link
AC-4	Information Flow Enforcement	mitigates	T1204.003	Malicious Image
AC-4	Information Flow Enforcement	mitigates	T1213	Data from Information Repositories
AC-4	Information Flow Enforcement	mitigates	T1213.001	Confluence
AC-4	Information Flow Enforcement	mitigates	T1213.002	Sharepoint
AC-4	Information Flow Enforcement	mitigates	T1484	Domain Policy Modification
AC-4	Information Flow Enforcement	mitigates	T1489	Service Stop
AC-4	Information Flow Enforcement	mitigates	T1498	Network Denial of Service
AC-4	Information Flow Enforcement	mitigates	T1505.004	IIS Components
AC-4	Information Flow Enforcement	mitigates	T1552	Unsecured Credentials
AC-4	Information Flow Enforcement	mitigates	T1552.001	Credentials In Files
AC-4	Information Flow Enforcement	mitigates	T1557.002	ARP Cache Poisoning
AC-4	Information Flow Enforcement	mitigates	T1559.001	Component Object Model
AC-4	Information Flow Enforcement	mitigates	T1563	Remote Service Session Hijacking
AC-4	Information Flow Enforcement	mitigates	T1563.002	RDP Hijacking
AC-4	Information Flow Enforcement	mitigates	T1564.008	Email Hiding Rules
AC-4	Information Flow Enforcement	mitigates	T1566	Phishing
AC-4	Information Flow Enforcement	mitigates	T1566.001	Spearphishing Attachment
AC-4	Information Flow Enforcement	mitigates	T1566.003	Spearphishing via Service
AC-4	Information Flow Enforcement	mitigates	T1567.001	Exfiltration to Code Repository
AC-4	Information Flow Enforcement	mitigates	T1568	Dynamic Resolution
AC-4	Information Flow Enforcement	mitigates	T1571	Non-Standard Port
AC-4	Information Flow Enforcement	mitigates	T1572	Protocol Tunneling
AC-4	Information Flow Enforcement	mitigates	T1573	Encrypted Channel
AC-4	Information Flow Enforcement	mitigates	T1573.001	Symmetric Cryptography
AC-4	Information Flow Enforcement	mitigates	T1573.002	Asymmetric Cryptography
AC-4	Information Flow Enforcement	mitigates	T1574.004	Dylib Hijacking
AC-4	Information Flow Enforcement	mitigates	T1574.005	Executable Installer File Permissions Weakness
AC-4	Information Flow Enforcement	mitigates	T1574.008	Path Interception by Search Order Hijacking
AC-4	Information Flow Enforcement	mitigates	T1574.009	Path Interception by Unquoted Path
AC-4	Information Flow Enforcement	mitigates	T1574.010	Services File Permissions Weakness
AC-4	Information Flow Enforcement	mitigates	T1598	Phishing for Information
AC-4	Information Flow Enforcement	mitigates	T1598.001	Spearphishing Service
AC-4	Information Flow Enforcement	mitigates	T1598.002	Spearphishing Attachment
AC-4	Information Flow Enforcement	mitigates	T1599.001	Network Address Translation Traversal
AC-4	Information Flow Enforcement	mitigates	T1601	Modify System Image
AC-4	Information Flow Enforcement	mitigates	T1601.001	Patch System Image
AC-4	Information Flow Enforcement	mitigates	T1601.002	Downgrade System Image
AC-4	Information Flow Enforcement	mitigates	T1602	Data from Configuration Repository
AC-4	Information Flow Enforcement	mitigates	T1602.001	SNMP (MIB Dump)
AC-5	Separation of Duties	mitigates	T1556.005	Reversible Encryption
AC-5	Separation Of Duties	mitigates	T1070.007	Clear Network Connection History and Configurations
AC-5	Separation Of Duties	mitigates	T1070.008	Clear Mailbox Data
AC-5	Separation Of Duties	mitigates	T1070.009	Clear Persistence
AC-5	Separation of Duties	mitigates	T1098.005	Device Registration
AC-5	Separation Of Duties	mitigates	T1505.005	Terminal Services DLL
AC-5	Separation Of Duties	mitigates	T1098.004	SSH Authorized Keys
AC-5	Separation Of Duties	mitigates	T1609	Container Administration Command
AC-5	Separation Of Duties	mitigates	T1552.007	Container API
AC-5	Separation Of Duties	mitigates	T1556	Modify Authentication Process
AC-5	Separation Of Duties	mitigates	T1543.001	Launch Agent
AC-5	Separation Of Duties	mitigates	T1562	Impair Defenses
AC-5	Separation Of Duties	mitigates	T1574	Hijack Execution Flow
AC-5	Separation Of Duties	mitigates	T1055	Process Injection
AC-5	Separation Of Duties	mitigates	T1059	Command and Scripting Interpreter
AC-5	Separation Of Duties	mitigates	T1070.001	Clear Windows Event Logs
AC-5	Separation Of Duties	mitigates	T1537	Transfer Data to Cloud Account
AC-5	Separation Of Duties	mitigates	T1574.007	Path Interception by PATH Environment Variable
AC-5	Separation Of Duties	mitigates	T1003.001	LSASS Memory
AC-5	Separation Of Duties	mitigates	T1003.002	Security Account Manager
AC-5	Separation Of Duties	mitigates	T1003.003	NTDS
AC-5	Separation Of Duties	mitigates	T1078	Valid Accounts
AC-5	Separation Of Duties	mitigates	T1110.001	Password Guessing
AC-5	Separation Of Duties	mitigates	T1110.002	Password Cracking
AC-5	Separation Of Duties	mitigates	T1218	Signed Binary Proxy Execution
AC-5	Separation Of Duties	mitigates	T1528	Steal Application Access Token
AC-5	Separation Of Duties	mitigates	T1530	Data from Cloud Storage Object
AC-5	Separation Of Duties	mitigates	T1580	Cloud Infrastructure Discovery
AC-5	Separation Of Duties	mitigates	T1599	Network Boundary Bridging
AC-5	Separation Of Duties	mitigates	T1611	Escape to Host
AC-5	Separation Of Duties	mitigates	T1021.001	Remote Desktop Protocol
AC-5	Separation Of Duties	mitigates	T1047	Windows Management Instrumentation
AC-5	Separation Of Duties	mitigates	T1053	Scheduled Task/Job
AC-5	Separation Of Duties	mitigates	T1053.002	At (Windows)
AC-5	Separation Of Duties	mitigates	T1053.003	Cron
AC-5	Separation Of Duties	mitigates	T1053.005	Scheduled Task
AC-5	Separation Of Duties	mitigates	T1059.001	PowerShell
AC-5	Separation Of Duties	mitigates	T1059.008	Network Device CLI
AC-5	Separation Of Duties	mitigates	T1070	Indicator Removal on Host
AC-5	Separation Of Duties	mitigates	T1070.003	Clear Command History
AC-5	Separation Of Duties	mitigates	T1078.002	Domain Accounts
AC-5	Separation Of Duties	mitigates	T1078.004	Cloud Accounts
AC-5	Separation Of Duties	mitigates	T1098	Account Manipulation
AC-5	Separation Of Duties	mitigates	T1098.001	Additional Cloud Credentials
AC-5	Separation Of Duties	mitigates	T1098.002	Exchange Email Delegate Permissions
AC-5	Separation Of Duties	mitigates	T1098.003	Add Office 365 Global Administrator Role
AC-5	Separation Of Duties	mitigates	T1190	Exploit Public-Facing Application
AC-5	Separation Of Duties	mitigates	T1197	BITS Jobs
AC-5	Separation Of Duties	mitigates	T1210	Exploitation of Remote Services
AC-5	Separation Of Duties	mitigates	T1213.003	Code Repositories
AC-5	Separation Of Duties	mitigates	T1218.007	Msiexec
AC-5	Separation Of Duties	mitigates	T1222	File and Directory Permissions Modification
AC-5	Separation Of Duties	mitigates	T1495	Firmware Corruption
AC-5	Separation Of Duties	mitigates	T1505	Server Software Component
AC-5	Separation Of Duties	mitigates	T1505.003	Web Shell
AC-5	Separation Of Duties	mitigates	T1525	Implant Internal Image
AC-5	Separation Of Duties	mitigates	T1543	Create or Modify System Process
AC-5	Separation Of Duties	mitigates	T1543.003	Windows Service
AC-5	Separation Of Duties	mitigates	T1546.003	Windows Management Instrumentation Event Subscription
AC-5	Separation Of Duties	mitigates	T1547.004	Winlogon Helper DLL
AC-5	Separation Of Duties	mitigates	T1547.006	Kernel Modules and Extensions
AC-5	Separation Of Duties	mitigates	T1547.009	Shortcut Modification
AC-5	Separation Of Duties	mitigates	T1548.002	Bypass User Account Control
AC-5	Separation Of Duties	mitigates	T1548.003	Sudo and Sudo Caching
AC-5	Separation Of Duties	mitigates	T1556.004	Network Device Authentication
AC-5	Separation Of Duties	mitigates	T1558	Steal or Forge Kerberos Tickets
AC-5	Separation Of Duties	mitigates	T1558.003	Kerberoasting
AC-5	Separation Of Duties	mitigates	T1559	Inter-Process Communication
AC-5	Separation Of Duties	mitigates	T1562.001	Disable or Modify Tools
AC-5	Separation Of Duties	mitigates	T1562.006	Indicator Blocking
AC-5	Separation Of Duties	mitigates	T1562.008	Disable Cloud Logs
AC-5	Separation Of Duties	mitigates	T1003	OS Credential Dumping
AC-5	Separation Of Duties	mitigates	T1003.004	LSA Secrets
AC-5	Separation Of Duties	mitigates	T1003.005	Cached Domain Credentials
AC-5	Separation Of Duties	mitigates	T1003.006	DCSync
AC-5	Separation Of Duties	mitigates	T1003.007	Proc Filesystem
AC-5	Separation Of Duties	mitigates	T1003.008	/etc/passwd and /etc/shadow
AC-5	Separation Of Duties	mitigates	T1021	Remote Services
AC-5	Separation Of Duties	mitigates	T1021.002	SMB/Windows Admin Shares
AC-5	Separation Of Duties	mitigates	T1021.003	Distributed Component Object Model
AC-5	Separation Of Duties	mitigates	T1021.004	SSH
AC-5	Separation Of Duties	mitigates	T1021.006	Windows Remote Management
AC-5	Separation Of Duties	mitigates	T1053.006	Systemd Timers
AC-5	Separation Of Duties	mitigates	T1053.007	Container Orchestration Job
AC-5	Separation Of Duties	mitigates	T1055.008	Ptrace System Calls
AC-5	Separation Of Duties	mitigates	T1056.003	Web Portal Capture
AC-5	Separation Of Duties	mitigates	T1070.002	Clear Linux or Mac System Logs
AC-5	Separation Of Duties	mitigates	T1072	Software Deployment Tools
AC-5	Separation Of Duties	mitigates	T1078.001	Default Accounts
AC-5	Separation Of Duties	mitigates	T1078.003	Local Accounts
AC-5	Separation Of Duties	mitigates	T1087.004	Cloud Account
AC-5	Separation Of Duties	mitigates	T1110	Brute Force
AC-5	Separation Of Duties	mitigates	T1110.003	Password Spraying
AC-5	Separation Of Duties	mitigates	T1110.004	Credential Stuffing
AC-5	Separation Of Duties	mitigates	T1134	Access Token Manipulation
AC-5	Separation Of Duties	mitigates	T1134.001	Token Impersonation/Theft
AC-5	Separation Of Duties	mitigates	T1134.002	Create Process with Token
AC-5	Separation Of Duties	mitigates	T1134.003	Make and Impersonate Token
AC-5	Separation Of Duties	mitigates	T1134.005	SID-History Injection
AC-5	Separation Of Duties	mitigates	T1136	Create Account
AC-5	Separation Of Duties	mitigates	T1136.001	Local Account
AC-5	Separation Of Duties	mitigates	T1136.002	Domain Account
AC-5	Separation Of Duties	mitigates	T1136.003	Cloud Account
AC-5	Separation Of Duties	mitigates	T1185	Browser Session Hijacking
AC-5	Separation Of Duties	mitigates	T1213	Data from Information Repositories
AC-5	Separation Of Duties	mitigates	T1213.001	Confluence
AC-5	Separation Of Duties	mitigates	T1213.002	Sharepoint
AC-5	Separation Of Duties	mitigates	T1222.001	Windows File and Directory Permissions Modification
AC-5	Separation Of Duties	mitigates	T1222.002	Linux and Mac File and Directory Permissions Modification
AC-5	Separation Of Duties	mitigates	T1484	Domain Policy Modification
AC-5	Separation Of Duties	mitigates	T1489	Service Stop
AC-5	Separation Of Duties	mitigates	T1505.002	Transport Agent
AC-5	Separation Of Duties	mitigates	T1538	Cloud Service Dashboard
AC-5	Separation Of Duties	mitigates	T1542	Pre-OS Boot
AC-5	Separation Of Duties	mitigates	T1542.001	System Firmware
AC-5	Separation Of Duties	mitigates	T1542.003	Bootkit
AC-5	Separation Of Duties	mitigates	T1542.005	TFTP Boot
AC-5	Separation Of Duties	mitigates	T1543.002	Systemd Service
AC-5	Separation Of Duties	mitigates	T1543.004	Launch Daemon
AC-5	Separation Of Duties	mitigates	T1547.012	Print Processors
AC-5	Separation Of Duties	mitigates	T1547.013	XDG Autostart Entries
AC-5	Separation Of Duties	mitigates	T1548	Abuse Elevation Control Mechanism
AC-5	Separation Of Duties	mitigates	T1550	Use Alternate Authentication Material
AC-5	Separation Of Duties	mitigates	T1550.002	Pass the Hash
AC-5	Separation Of Duties	mitigates	T1550.003	Pass the Ticket
AC-5	Separation Of Duties	mitigates	T1552	Unsecured Credentials
AC-5	Separation Of Duties	mitigates	T1552.001	Credentials In Files
AC-5	Separation Of Duties	mitigates	T1552.002	Credentials in Registry
AC-5	Separation Of Duties	mitigates	T1552.006	Group Policy Preferences
AC-5	Separation Of Duties	mitigates	T1553	Subvert Trust Controls
AC-5	Separation Of Duties	mitigates	T1553.006	Code Signing Policy Modification
AC-5	Separation Of Duties	mitigates	T1556.001	Domain Controller Authentication
AC-5	Separation Of Duties	mitigates	T1556.003	Pluggable Authentication Modules
AC-5	Separation Of Duties	mitigates	T1558.001	Golden Ticket
AC-5	Separation Of Duties	mitigates	T1558.002	Silver Ticket
AC-5	Separation Of Duties	mitigates	T1559.001	Component Object Model
AC-5	Separation Of Duties	mitigates	T1562.002	Disable Windows Event Logging
AC-5	Separation Of Duties	mitigates	T1562.004	Disable or Modify System Firewall
AC-5	Separation Of Duties	mitigates	T1562.007	Disable or Modify Cloud Firewall
AC-5	Separation Of Duties	mitigates	T1562.009	Safe Mode Boot
AC-5	Separation Of Duties	mitigates	T1563	Remote Service Session Hijacking
AC-5	Separation Of Duties	mitigates	T1563.001	SSH Hijacking
AC-5	Separation Of Duties	mitigates	T1563.002	RDP Hijacking
AC-5	Separation Of Duties	mitigates	T1569	System Services
AC-5	Separation Of Duties	mitigates	T1569.001	Launchctl
AC-5	Separation Of Duties	mitigates	T1569.002	Service Execution
AC-5	Separation Of Duties	mitigates	T1574.004	Dylib Hijacking
AC-5	Separation Of Duties	mitigates	T1574.005	Executable Installer File Permissions Weakness
AC-5	Separation Of Duties	mitigates	T1574.008	Path Interception by Search Order Hijacking
AC-5	Separation Of Duties	mitigates	T1574.009	Path Interception by Unquoted Path
AC-5	Separation Of Duties	mitigates	T1574.010	Services File Permissions Weakness
AC-5	Separation Of Duties	mitigates	T1574.012	COR_PROFILER
AC-5	Separation Of Duties	mitigates	T1578	Modify Cloud Compute Infrastructure
AC-5	Separation Of Duties	mitigates	T1578.001	Create Snapshot
AC-5	Separation Of Duties	mitigates	T1578.002	Create Cloud Instance
AC-5	Separation Of Duties	mitigates	T1578.003	Delete Cloud Instance
AC-5	Separation Of Duties	mitigates	T1599.001	Network Address Translation Traversal
AC-5	Separation Of Duties	mitigates	T1601	Modify System Image
AC-5	Separation Of Duties	mitigates	T1601.001	Patch System Image
AC-5	Separation Of Duties	mitigates	T1601.002	Downgrade System Image
AC-5	Separation Of Duties	mitigates	T1606	Forge Web Credentials
AC-5	Separation Of Duties	mitigates	T1619	Cloud Storage Object Discovery
AC-6	Least Privilege	mitigates	T1556.005	Reversible Encryption
AC-6	Least Privilege	mitigates	T1556.006	Multi-Factor Authentication
AC-6	Least Privilege	mitigates	T1556.007	Hybrid Identity
AC-6	Least Privilege	mitigates	T1621	Multi-Factor Authentication Request Generation
AC-6	Least Privilege	mitigates	T1070.007	Clear Network Connection History and Configurations
AC-6	Least Privilege	mitigates	T1070.008	Clear Mailbox Data
AC-6	Least Privilege	mitigates	T1070.009	Clear Persistence
AC-6	Least Privilege	mitigates	T1098.005	Device Registration
AC-6	Least Privilege	mitigates	T1505.005	Terminal Services DLL
AC-6	Least Privilege	mitigates	T1546.016	Installer Packages
AC-6	Least Privilege	mitigates	T1648	Serverless Execution
AC-6	Least Privilege	mitigates	T1098.004	SSH Authorized Keys
AC-6	Least Privilege	mitigates	T1647	Plist File Modification
AC-6	Least Privilege	mitigates	T1552.007	Container API
AC-6	Least Privilege	mitigates	T1556	Modify Authentication Process
AC-6	Least Privilege	mitigates	T1543.001	Launch Agent
AC-6	Least Privilege	mitigates	T1562	Impair Defenses
AC-6	Least Privilege	mitigates	T1574	Hijack Execution Flow
AC-6	Least Privilege	mitigates	T1609	Container Administration Command
AC-6	Least Privilege	mitigates	T1610	Deploy Container
AC-6	Least Privilege	mitigates	T1055	Process Injection
AC-6	Least Privilege	mitigates	T1068	Exploitation for Privilege Escalation
AC-6	Least Privilege	mitigates	T1133	External Remote Services
AC-6	Least Privilege	mitigates	T1212	Exploitation for Credential Access
AC-6	Least Privilege	mitigates	T1059	Command and Scripting Interpreter
AC-6	Least Privilege	mitigates	T1070.001	Clear Windows Event Logs
AC-6	Least Privilege	mitigates	T1203	Exploitation for Client Execution
AC-6	Least Privilege	mitigates	T1211	Exploitation for Defense Evasion
AC-6	Least Privilege	mitigates	T1537	Transfer Data to Cloud Account
AC-6	Least Privilege	mitigates	T1567	Exfiltration Over Web Service
AC-6	Least Privilege	mitigates	T1574.007	Path Interception by PATH Environment Variable
AC-6	Least Privilege	mitigates	T1574.011	Services Registry Permissions Weakness
AC-6	Least Privilege	mitigates	T1003.001	LSASS Memory
AC-6	Least Privilege	mitigates	T1003.002	Security Account Manager
AC-6	Least Privilege	mitigates	T1003.003	NTDS
AC-6	Least Privilege	mitigates	T1005	Data from Local System
AC-6	Least Privilege	mitigates	T1055.001	Dynamic-link Library Injection
AC-6	Least Privilege	mitigates	T1055.014	VDSO Hijacking
AC-6	Least Privilege	mitigates	T1078	Valid Accounts
AC-6	Least Privilege	mitigates	T1091	Replication Through Removable Media
AC-6	Least Privilege	mitigates	T1110.001	Password Guessing
AC-6	Least Privilege	mitigates	T1110.002	Password Cracking
